epoch,accuracy,loss,val_accuracy,val_loss
0,0.10159999877214432,27.304574966430664,0.10329999774694443,27.25031280517578
1,0.10296666622161865,27.30460548400879,0.11339999735355377,27.250308990478516
2,0.10114999860525131,27.30455207824707,0.11339999735355377,27.25031280517578
3,0.10221666842699051,27.304567337036133,0.10300000011920929,27.250308990478516
4,0.10154999792575836,27.3045597076416,0.10300000011920929,27.250308990478516
5,0.10175000131130219,27.3045597076416,0.10300000011920929,27.250308990478516
6,0.09839999675750732,27.30459976196289,0.09749999642372131,27.250308990478516
7,0.10193333029747009,27.304533004760742,0.0892999991774559,27.250308990478516
8,0.098383329808712,27.304582595825195,0.09799999743700027,27.250308990478516
9,0.10243333131074905,27.3045654296875,0.11339999735355377,27.250308990478516
10,0.09929999709129333,27.304597854614258,0.11339999735355377,27.250308990478516
11,0.10126666724681854,27.304611206054688,0.11339999735355377,27.250308990478516
12,0.09961666911840439,27.304555892944336,0.09749999642372131,27.250308990478516
13,0.09908333420753479,27.3045654296875,0.10320000350475311,27.250308990478516
14,0.10130000114440918,27.30455780029297,0.10100000351667404,27.250308990478516
15,0.09876666963100433,27.304584503173828,0.0982000008225441,27.250308990478516
16,0.09981666505336761,27.304616928100586,0.10320000350475311,27.250308990478516
17,0.1012333333492279,27.304607391357422,0.11339999735355377,27.250308990478516
18,0.10126666724681854,27.304580688476562,0.0982000008225441,27.250308990478516
19,0.09973333030939102,27.30457878112793,0.09799999743700027,27.25031280517578
